site,location,ab,elevation,year,age,ageclassn,ageclass,ACENEG,ARTLUD,BACSALF,BACSALN,BERFRE,BRANIG,BRILON,BRORUB,BROTEC,CLELIG,ECHCRU,ELYELY,EQULAE,ERINAU,EUPACE,EUTOCC,JUNBAL,JUNLON,JUNTOR,OENPAL,PARINS,PHRAUS,POLMON,POLVIR,POPFRE,QUEGAM,SACRAV,SALEXI,SALGOO,SALTRA,SOLCAN,STETEN,TAMRAM,TYPDOM,VERAME,VULOCT
SBL1,S,below,3685,2023,24,25,21 to 25,0.000,0.000,0.000,0.149,0.000,0.000,2.534,0.000,1.262,0.000,0.000,0.000,0.000,0.000,1.014,0.000,0.338,0.000,0.000,0.000,0.000,0.000,1.014,0.000,0.000,0.000,0.000,51.011,0.000,0.000,0.000,0.000,0.149,0.169,0.000,0.000
SBL2,S,below,3625,2023,6,6,6,0.000,0.000,0.160,6.913,0.000,0.000,0.145,0.576,0.139,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.114,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.127,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.036
SBL3,S,below,3560,2023,2,2,2,0.000,0.872,0.000,4.223,0.000,0.149,0.000,2.836,1.876,0.000,0.000,0.000,0.000,0.000,0.000,0.505,0.260,0.000,0.145,0.000,0.000,0.000,0.788,0.000,0.000,0.000,0.000,2.356,40.752,0.000,0.128,0.000,0.000,1.344,1.194,1.543
TAL1,T,above,3725,2023,50,50,> 50,0.000,0.298,0.000,1.062,0.000,0.000,0.000,0.000,11.433,0.000,0.000,0.000,0.288,4.444,0.137,0.134,0.000,0.000,0.000,0.134,9.770,13.235,0.000,0.000,4.545,0.000,0.802,2.206,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
TAL2,T,below,3700,2023,40,40,> 50,0.000,5.176,0.000,0.000,0.000,0.000,0.159,0.000,9.058,0.000,0.000,0.000,0.478,0.000,0.000,0.000,0.909,0.000,0.000,0.000,0.000,1.053,0.000,1.204,13.477,0.000,0.000,4.386,0.000,0.000,0.000,0.000,6.565,0.000,0.000,0.152
TBL1,T,below,3670,2023,22,25,21 to 25,0.000,0.152,15.387,22.412,0.000,0.000,0.000,0.000,1.998,0.000,0.000,0.000,0.462,0.000,0.000,0.000,0.490,0.000,0.000,0.000,0.000,2.359,0.000,0.000,0.000,0.000,0.000,25.720,0.000,0.000,0.000,0.000,1.177,0.159,0.000,0.152
TBL2,T,below,3630,2023,6,6,6,0.000,0.000,10.102,10.509,0.000,0.000,0.000,2.232,6.192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.174,1.042,0.000,0.000,0.000,1.252,0.000,0.000,0.000,1.111,2.344,0.000,0.000,2.633
TBL3,T,below,3560,2023,2,2,2,0.000,0.000,5.966,5.045,0.000,0.000,0.893,0.000,1.422,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.234,0.000,0.000,0.000,0.000,0.000,4.944,0.082,0.000,0.000,0.000,0.000,0.000,2.936,0.000,0.160,0.082,0.000,0.287,8.755
WAL1,W,above,3830,2023,50,50,> 50,0.000,0.110,0.000,8.051,0.000,0.000,0.000,0.174,0.452,0.000,0.000,12.968,1.110,2.770,0.000,0.000,2.792,0.000,0.000,0.000,0.000,0.000,1.560,0.152,1.854,5.449,0.000,0.149,0.149,0.000,4.416,0.000,0.893,1.118,0.000,0.179
WAL2,W,below,3700,2023,40,40,> 50,0.000,0.000,0.000,16.970,0.000,0.000,0.000,0.000,0.458,0.000,0.000,0.160,8.693,0.000,0.000,0.000,3.218,0.000,0.000,0.000,0.000,1.182,0.000,0.000,12.890,0.000,0.000,2.131,0.160,0.000,0.000,0.000,0.000,3.619,0.000,0.000
